name,lat,lng,pincode,type
Anarse Samosewale,18.51228342571107,73.84585460374706,411004,Snacks
Swirls,18.503360231803583,73.819765435853,411029,Ice Cream
Durvankur Dining Hall,18.51069551002744,73.84614273724239,411004,Indian
Subhadra Restaurant,18.519195658929494,73.84497365296683,411004,Indian
McDonald's,18.518368987944104,73.8444406350638,411005,Fast Food
Venky's Xprs,18.521528849674343,73.84106106094669,411004,Burgers
Naad Pan & Smoke Shop,18.50165860814086,73.81607987445479,411038,Smoke Shop
Cafe Coffee Day,18.513671665362185,73.81546322120593,411038,Coffee Shop
Hot Basil Cafe,18.493735139716204,73.82530461484946,411052,Café
Doolally@1st Brewhouse,18.463242383117112,73.9192508325025,411060,Brewery
Corinthians Boutique Hotel,18.462957525664827,73.91900240369235,411060,Resort
Salsa,18.46319400024936,73.91919667391647,411005,Greek
Pyramisa Restaurant,18.46305313575475,73.91803921286866,411060,Asian
Sip and dine garden restaurant and bar,18.46518468233723,73.91873388171113,411048,Restaurant
Undri Junction,18.452764528415564,73.91512272487068,411005,Bus Station
The Spices,18.457393184526335,73.91290088282777,411005,Indian
Marrakesh,18.462950744055796,73.91265400992414,411005,Mediterranean
Hira Ki Tapri [H.K.T],18.57392690191187,73.88519646285826,411006,Tea Room
Reddys Vadapav Center,18.57444190979004,73.8924331665039,411006,Breakfast
Cafe Coffee Day,18.56395503616254,73.88407320145299,411006,Coffee Shop
Delhi Chaat Bhandar (DCB),18.56851740845968,73.88254062913661,411006,Fast Food
Domino's Pizza,18.570221831026505,73.87869165517397,411015,Pizza
Shoppers Orbit,18.570341721265248,73.87850790366784,411006,Mall
Sunshine Restaurant,18.57370528536497,73.88597841254337,411006,Indian
Hotel Shifa,18.57864676045178,73.8761420874216,411015,Chinese
Raviraj Snacks Center,18.580205,73.876269,411006,Snacks
Chai Tapri,18.573927876270773,73.88949823834253,411006,Food Truck
Anup Bakery,18.574173826223078,73.89064087616383,411015,Bakery
Kandi's Tea Stall,18.574400009759707,73.89311561156217,411006,Tea Room
Mad Momos,18.575221,73.895084,411006,Café
