name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
Spice Multi Cuisine Restaurant,18.4597260139,73.9204818383,600,2,2.9,13,"North Indian, Chinese, Fast Food","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Table reservation required', 'Indoor Seating', 'Air Conditioned', 'Wifi']",8,42
JP's Hut - The Hunger Killer,18.4644339912,73.9230366424,300,1,3.3,84,North Indian,"['Cash', 'Delivery', 'Digital Payments Accepted', 'Outdoor Seating', 'Indoor Seating']",12,27
The Big Bang Burger,18.4640154813,73.9150232077,300,1,4.0,193,"Burger, Fast Food","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Free Parking', 'Outdoor Seating']",51,27
Food Metro,18.4644101400,73.9151244611,300,1,3.5,52,North Indian,"['Cash', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Delivery', 'Breakfast', 'No Seating Available', 'Dinner']",3,5
Mother's Food Tiffin Services,18.4644282669,73.9150734991,300,1,3.1,56,"North Indian, South Indian, Hyderabadi","['Cash', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Delivery', 'Breakfast', 'No Seating Available', 'Dinner']",5,4
Onion Leaf,18.4609394013,73.9153402045,300,1,3.4,38,"Chinese, Thai","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",15,0
ROYALTY CHINA CHINESE AND THAI KITCHEN,18.4609599464,73.9152002335,500,2,3.7,190,"Chinese, Thai","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Standing Tables', 'Delivery', 'Credit Card', 'Digital Payments Accepted']",37,7
Once Upon A Cake,18.4625316074,73.9141806588,250,1,3.7,31,"Bakery, Desserts","['Cash', 'Delivery', 'No Alcohol Available', 'Takeaway Available', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes', 'Home Baker']",14,17
Cakes-N-Colors,18.4625704058,73.9141625538,300,1,3.9,16,"Desserts, Bakery","['Cash', 'Takeaway Available', 'No Seating Available', 'Delivery', 'No Alcohol Available', 'Home Baker', 'Desserts and Bakes', 'Pre-Ordering Required']",9,24
Hotel Om Sai Veg And Non Veg,18.4668330000,73.9171520000,500,2,0,9,"Chinese, Maharashtrian, Fast Food, North Indian","['Lunch', 'Cash', 'Dinner', 'Delivery']",2,0
Zaitoon,18.4685150453,73.9201857895,400,1,0,3,"Fast Food, North Indian, Beverages","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",2,0
Kish Cafe,18.4520996054,73.9153437316,200,1,0,3,"Chinese, Fast Food","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",1,0
S P Chinese Point,18.4534604894,73.9147352055,250,1,2.5,80,Chinese,"['Cash', 'Dinner', 'Takeaway Available', 'Delivery', 'Outdoor Seating', 'Digital Payments Accepted', 'Free Parking']",1,1
M Purohit Sweets,18.4538440000,73.9141440000,100,1,3.2,4,"Mithai, Street Food","['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes']",4,1
Royal Park,18.4545535777,73.9137950912,800,2,3.5,163,"North Indian, Chinese, Seafood, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",22,53
Sagar Pure Veg Family Restaurant,18.4505558367,73.9152837172,500,2,0,26,North Indian,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Pure Veg']",0,1
Hotel Dhanraj,18.4508233098,73.9164588600,100,1,0,0,Maharashtrian,"['Cash', 'Lunch', 'Dinner', 'Takeaway Available', 'Breakfast', 'Pure Veg', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating']",0,0
Dhanraj Vadapav Corner,18.4508147226,73.9164615422,150,1,0,0,Fast Food,"['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Standing Tables', 'Takeaway Available', 'Digital Payments Accepted']",0,0
Bakul's Homely Kitchen,18.4548450000,73.9139570000,250,1,0,2,Street Food,"['No Seating Available', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Breakfast']",1,0
Old Mumbai Ice Cream,18.4548789267,73.9139251783,100,1,3.9,12,Ice Cream,"['No Seating Available', 'Delivery', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'Desserts and Bakes']",5,1
Spice Restaurant,18.4547704771,73.9137230068,600,2,0,0,"North Indian, South Indian, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",0,0
Sj's Cafe,18.4549150000,73.9136160000,300,1,0,0,"Street Food, Fast Food, North Indian","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",0,0
Hotel Gawkari,18.4502330238,73.9168410748,450,1,0,0,"Chinese, North Indian, Maharashtrian","['Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Indoor Seating']",0,1
Friends Chinese And Tandoor Center,18.4502314335,73.9168829843,300,1,0,0,"Chinese, North Indian","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted']",0,1
Dil Se Desi,18.4556059508,73.9133917540,600,2,0,0,"North Indian, Mughlai","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Credit Card', 'Indoor Seating']",0,0
Wok And Grill,18.4557773703,73.9134799317,500,2,3.4,119,Chinese,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",3,1
JM Chinese,18.4557811867,73.9134544507,300,1,0,1,"Chinese, North Indian","['Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",0,0
Sunrise Garden Cafe,18.4575255850,73.9126692340,300,1,3.7,663,Fast Food,"['Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Digital Payments Accepted', 'Outdoor Seating', 'Indoor Seating']",32,38
The Spices,18.4574587989,73.9125880972,1150,3,3.8,168,"North Indian, Chinese, Seafood, Biryani","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Free Parking', 'Fullbar', 'Live Music', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Live Sports Screening', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Kid Friendly', 'Smoking Area']",71,77
Sodhi Naan House,18.4576508884,73.9123396575,300,1,3.5,1633,North Indian,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Outdoor Seating', 'Digital Payments Accepted', 'Pure Veg']",15,2
Landmark Restaurant,18.4576298985,73.9122692496,450,1,3.5,198,"North Indian, Kebab, Chinese, Biryani","['Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",14,4
IceBerry,18.4565797639,73.9128291607,400,1,0,0,"Ice Cream, Beverages","['Cash', 'Delivery', 'Desserts and Bakes']",0,0
Mirchi Mary,18.4565619542,73.9128539711,400,1,0,19,"South Indian, North Indian, Fast Food, Desserts","['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Delivery']",0,0
Balaji Misal House,18.4582233393,73.9123674855,200,1,0,1,Street Food,"['Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",0,4
Dolphin Bakery,18.4582481455,73.9123829082,300,1,0,2,"Bakery, Mithai","['Takeaway Available', 'No Seating Available', 'Cash', 'Digital Payments Accepted', 'Desserts and Bakes']",1,24
Savlahari Pot Ice- Cream & Mastani,18.4563520000,73.9128430000,150,1,3.3,31,"Ice Cream, Desserts","['Delivery', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",5,43
Kad's Restaurant,18.4563282014,73.9127855748,300,1,0,0,North Indian,"['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating']",0,0
Star Italian Cafe,18.4562986245,73.9130507782,350,1,3.3,95,"Fast Food, Beverages","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",12,22
Charcoal Delight,18.4562928999,73.9126263186,500,2,3.5,37,"Mughlai, North Indian, Arabian","['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",14,2
Grill & Chill Cafe,18.4562935360,73.9126182720,500,2,3.9,29,"Cafe, Fast Food","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Smoking Area', 'Indoor Seating', 'Desserts and Bakes']",2,4
Pistachio Café & More...,18.4562111658,73.9130454138,300,1,3.6,48,"Chinese, Fast Food, Pizza, Rolls","['Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Outdoor Seating', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted']",7,19
The Food Factory,18.4561930380,73.9130534604,300,1,3.5,14,"North Indian, South Indian, Fast Food, Chinese","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",10,2
Alichi's Irani Chai & Maska,18.4561485136,73.9127155021,400,1,3.9,240,"Fast Food, Sandwich, Rolls, North Indian, Chinese, Beverages","['Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']",25,33
In Good Taste,18.4585372324,73.9122233167,400,1,0,1,Desserts,"['Delivery', 'No Seating Available', 'Cash', 'Takeaway Available', 'Desserts and Bakes', 'Pre-Ordering Required', 'Home Baker']",0,7
Hangout Cafe,18.4629265875,73.9129270613,300,1,0,3,"North Indian, Fast Food, Pizza, Mughlai, Chinese, Beverages","['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted']",1,0
Jovos 2.0,18.4628827009,73.9129501954,1400,3,3.5,101,"North Indian, Finger Food, Continental","['Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Air Conditioned', 'Smoking Area', 'Fullbar', 'Table booking recommended', 'Indoor Seating', 'Digital Payments Accepted']",55,37
Chintamani Pan Darbar,18.4629116406,73.9133756608,100,1,0,1,Paan,"['No Seating Available', 'Takeaway Available', 'Cash']",1,0
Guruji Ki Rasoi,18.4628702981,73.9135248587,500,2,3.2,95,"Chinese, Fast Food","['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",1,3
AFC,18.4629443966,73.9115286246,400,1,3.1,3139,"Burger, Fast Food","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",95,24
Hungry Puppet,18.4622040467,73.9138768986,350,1,0,3,"Fast Food, North Indian","['Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Breakfast', 'Indoor Seating', 'Digital Payments Accepted']",2,3
House of Hyderabad,18.4624130000,73.9112300000,550,2,3.3,7,"Hyderabadi, North Indian, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Outdoor Seating', 'Digital Payments Accepted']",4,2
Loyal's The Cake Shop,18.4629173650,73.9111122116,150,1,3.8,24,"Bakery, Desserts","['Delivery', 'Credit Card', 'Debit Card', 'Cash', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Desserts and Bakes']",10,5
The Chinese Hut,18.4614360258,73.9131962880,400,1,3.9,81,Chinese,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating']",1,0
The Gateaux Factory,18.4618720000,73.9141361000,200,1,0,0,Bakery,"['No Seating Available', 'Cash', 'Takeaway Available', 'Delivery', 'Digital Payments Accepted', 'Desserts and Bakes']",0,0
MH-J1,18.4609430000,73.9123190000,700,2,3.3,2415,"Maharashtrian, North Indian, Malwani","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating']",127,48
Jai Maharashtra Wadyawarla Jevan,18.4608839390,73.9129351079,550,2,3.6,2050,"Maharashtrian, Malwani, North Indian, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",114,55
Druk Bistro,18.4606870827,73.9127326012,300,1,3.9,106,"Chinese, Momos","['Cash', 'Takeaway Available', 'Delivery']",10,9
Bawarchi Fast Food,18.4606075769,73.9128955454,350,1,0,0,"North Indian, Chinese","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Free Parking', 'Indoor Seating', 'Outdoor Seating']",0,0
Hotel New Mahalaxmi,18.4604431588,73.9127634466,450,1,3.7,247,"Chinese, North Indian, Street Food","['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",16,14
Siddhivinayak Wada Pav Center,18.5736266223,73.8848503679,150,1,3.8,4,Street Food,"['Dinner', 'Cash', 'Lunch', 'Standing Tables', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Pure Veg']",2,1
KEKIZ The Cake Shop,18.5736164523,73.8847910240,350,1,3.4,11,"Bakery, Desserts","['No Seating Available', 'Cash', 'Credit Card', 'Takeaway Available', 'Debit Card', 'Desserts and Bakes', 'Air Conditioned']",2,17
Smoked Biryani,18.5738513162,73.8846190274,400,1,3.7,55,"Biryani, North Indian","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned']",6,3
